Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
TECHM,Tech Mahindra,Largecap,"1,415.00",33.60,0.39,34.75,42.21,"1,162.95","1,807.70",-0.69%,33.02%,7.14%,11.29%,1.62,1.86,8.63%,4.44%,34.47%,4.75,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
CIPLA,Cipla,Largecap,"1,441.00",23.36,0.38,42.46,61.74,"1,317.25","1,702.05",6.39%,34.51%,18.67%,25.14%,2.47,3.71,16.45%,10.75%,22.72%,4.11,0.02,N/A,N/A,,N/A,N/A,N/A,N/A
ONGC,Oil and Natural Gas Corporation,Largecap,246.50,7.95,0.61,60.97,31.01,215.48,345.00,2.56%,-6.98%,6.47%,13.98%,0.46,0.88,17.08%,6.95%,16.68%,0.88,0.50,N/A,N/A,,N/A,N/A,N/A,N/A
TATACONSUM,Tata Consumer Products,Largecap,"1,001.90",83.76,0.66,61.90,11.96,882.90,"1,247.10",13.69%,-7.62%,6.79%,13.16%,0.65,1.20,7.03%,4.67%,-10.36%,5.05,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
TATACHEM,Tata Chemicals,Smallcap,863.00,n/a,1.15,57.93,-22.92,756.00,"1,247.35",-9.17%,-,-3.80%,14.09%,0.58,1.05,2.05%,3.40%,-4.68%,n/a,0.28,N/A,N/A,,N/A,N/A,N/A,N/A
RAMCOCEM,The Ramco Cements,Smallcap,892.75,56.18,0.33,60.81,15.96,700.00,"1,060.00",-5.08%,-4.55%,4.25%,16.17%,0.27,0.57,5.05%,3.76%,-5.36%,2.84,0.72,N/A,N/A,,N/A,N/A,N/A,N/A
AARTIIND,Aarti Industries,Smallcap,389.00,38.63,0.85,43.66,10.12,364.15,769.25,13.42%,-15.31%,5.17%,14.34%,0.38,0.96,8.16%,4.16%,-36.90%,n/a,0.71,N/A,N/A,,N/A,N/A,N/A,N/A
RADICO,Radico Khaitan,Smallcap,"2,425.00",105.74,0.75,71.19,22.97,"1,429.85","2,637.70",19.48%,22.37%,6.65%,13.24%,0.89,1.72,11.28%,6.23%,57.24%,12.67,0.35,N/A,N/A,,N/A,N/A,N/A,N/A
LAURUSLABS,Laurus Labs,Smallcap,611.50,165.71,1.16,59.82,3.70,385.45,646.20,5.85%,6.62%,3.80%,16.44%,0.58,1.23,3.98%,3.08%,40.17%,7.96,0.67,N/A,N/A,,N/A,N/A,N/A,N/A
CROMPTON,Crompton Greaves Consumer Electricals,Smallcap,353.80,43.35,0.47,52.66,8.16,268.95,484.00,8.70%,20.63%,6.76%,9.98%,0.83,1.31,13.48%,6.23%,28.02%,7.33,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
NAVINFLUOR,Navin Fluorine International,Smallcap,"4,204.00",79.05,0.50,60.11,53.20,"2,875.95","4,381.00",4.09%,-21.30%,11.73%,21.40%,1.20,1.81,11.84%,5.01%,-15.68%,n/a,0.56,N/A,N/A,,N/A,N/A,N/A,N/A
ABREL,Aditya Birla Real Estate,Smallcap,"1,872.75",n/a,0.53,50.07,-2.40,"1,494.50","3,140.00",7.87%,-,-0.53%,10.44%,0.31,1.72,7.50%,3.02%,105.54%,n/a,1.16,N/A,N/A,,N/A,N/A,N/A,N/A
BSOFT,Birlasoft,Smallcap,386.85,18.96,0.87,31.33,20.45,384.55,789.90,5.42%,2.82%,10.60%,13.08%,3.55,3.71,22.71%,13.20%,-22.00%,3.31,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
DELHIVERY,Delhivery,Smallcap,253.60,900.75,-0.11,43.65,0.28,236.53,478.00,11.23%,Data not found,0.24%,1.36%,4.16,4.42,-2.72%,-3.22%,-10.13%,2.01,0.15,N/A,N/A,,N/A,N/A,N/A,N/A
CASTROLIND,Castrol India,Smallcap,202.40,21.66,0.78,40.07,9.37,162.60,284.40,5.72%,7.30%,17.28%,23.77%,1.48,2.02,42.15%,21.24%,9.73%,n/a,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
GESHIP,The Great Eastern Shipping Company,Smallcap,929.00,4.61,0.74,55.74,201.76,797.50,"1,543.70",7.35%,18.72%,51.57%,54.57%,5.02,5.44,23.06%,8.71%,-1.48%,n/a,0.21,N/A,N/A,,N/A,N/A,N/A,N/A
GSPL,Gujarat State Petronet,Smallcap,290.95,12.03,0.70,50.74,24.21,260.05,469.70,3.40%,-12.28%,7.75%,17.23%,1.16,1.33,16.13%,9.35%,18.27%,1.47,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
KEC,KEC International,Smallcap,780.00,44.74,0.60,52.21,17.50,648.60,"1,313.25",9.68%,68.29%,2.15%,6.35%,0.98,1.11,8.82%,3.53%,110.67%,3.98,0.85,N/A,N/A,,N/A,N/A,N/A,N/A
SONATSOFTW,Sonata Software,Smallcap,345.00,22.48,1.09,32.32,15.38,341.95,769.70,16.76%,36.97%,4.39%,7.61%,0.92,0.99,22.79%,8.55%,-19.26%,6.39,0.42,N/A,N/A,,N/A,N/A,N/A,N/A
CESC,CESC Limited,Smallcap,153.48,14.61,0.81,66.04,10.53,119.00,212.49,10.01%,-0.92%,8.46%,15.93%,0.75,0.95,12.38%,1.77%,40.33%,1.68,1.23,N/A,N/A,,N/A,N/A,N/A,N/A
CYIENT,Cyient,Smallcap,"1,260.95",22.12,1.22,41.89,57.21,"1,185.00","2,190.00",3.85%,-3.67%,8.68%,14.54%,1.39,2.15,17.52%,9.56%,-19.72%,n/a,0.10,N/A,N/A,,N/A,N/A,N/A,N/A
HFCL,HFCL Limited,Smallcap,78.86,31.10,0.94,40.48,2.54,77.00,171.00,0.39%,21.71%,8.04%,14.01%,1.34,2.08,9.45%,5.22%,35.15%,2.73,0.29,N/A,N/A,,N/A,N/A,N/A,N/A
KAYNES,Kaynes Technology India,Smallcap,"4,722.05",118.82,-0.34,55.10,39.95,"2,424.00","7,822.00",55.00%,57.01%,10.89%,13.85%,2.58,3.51,10.63%,6.12%,212.35%,11.72,0.27,N/A,N/A,,N/A,N/A,N/A,N/A
NATCOPHARM,NATCO Pharma,Smallcap,799.85,7.67,0.44,33.49,104.13,757.05,"1,639.00",11.76%,47.01%,43.58%,50.37%,2.73,4.14,25.88%,15.63%,70.99%,2.00,0.03,N/A,N/A,,N/A,N/A,N/A,N/A
CAMS,Computer Age Management Services,Smallcap,"3,712.00",39.95,0.15,57.23,93.13,"2,942.05","5,367.50",28.04%,41.66%,33.39%,42.91%,2.62,3.25,41.34%,21.63%,92.21%,n/a,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
CDSL,Central Depository Services (India),Smallcap,"1,220.00",45.90,0.31,53.58,26.58,863.40,"1,989.80",55.21%,57.41%,46.11%,61.59%,3.08,3.33,30.35%,21.28%,92.79%,16.68,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
HSCL,Himadri Speciality Chemical,Smallcap,421.75,40.62,0.68,46.38,10.46,302.00,688.70,15.31%,22.24%,11.07%,16.93%,0.75,1.92,15.44%,9.01%,111.79%,n/a,0.10,N/A,N/A,,N/A,N/A,N/A,N/A
HINDCOPPER,Hindustan Copper,Smallcap,219.54,53.03,1.74,47.20,4.15,195.40,415.80,11.31%,32.33%,21.12%,38.19%,0.55,1.05,13.52%,8.26%,-9.39%,n/a,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
NEULANDLAB,Neuland Laboratories,Smallcap,"11,950",51.67,1.03,53.02,233.72,"5,540","18,100",-3.00%,-5.43%,19.55%,24.45%,1.10,2.15,26.36%,14.77%,159.63%,n/a,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
