Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
MARUTI,Maruti Suzuki India,Auto,"11,490",24.91,0.36,37.16,462.51,"10,725","13,680",11.65%,14.79%,9.66%,13.75%,0.57,0.87,16.84%,7.75%,5.40%,4.06,0.00,N/A,N/A,No News,N/A,N/A,N/A,N/A
EXIDEIND,Exide Industries,Auto,362.00,38.63,0.70,52.73,9.32,305.00,620.35,4.93%,-9.11%,4.64%,10.54%,0.48,1.41,7.34%,4.78%,31.07%,n/a,0.13,N/A,N/A,No News,N/A,N/A,N/A,N/A
MRF,MRF Limited,Auto,"112,500",27.26,0.38,58.38,"4,133.98","102,124","143,850",11.21%,-13.45%,6.39%,13.84%,0.74,1.37,13.25%,7.05%,0.81%,2.70,0.18,N/A,N/A,Positive,N/A,N/A,N/A,N/A
HEROMOTOCO,Hero MotoCorp,Auto,"3,721.00",17.93,0.98,50.54,207.30,"3,461.60","6,246.25",10.83%,14.79%,10.23%,13.98%,1.14,1.46,21.62%,11.45%,0.62%,n/a,0.03,N/A,N/A,No News,N/A,N/A,N/A,N/A
UNOMINDA,Uno Minda,Auto,876.95,52.20,0.75,41.67,16.77,680.80,"1,255.00",22.20%,24.14%,6.02%,11.03%,0.68,1.23,19.07%,7.27%,53.74%,n/a,0.38,N/A,N/A,No News,N/A,N/A,N/A,N/A
EICHERMOT,Eicher Motors,Auto,"5,345.25",33.00,0.48,62.15,161.82,"3,886.10","5,575.50",16.78%,15.63%,23.83%,27.52%,0.53,1.15,24.22%,13.37%,16.42%,n/a,0.02,N/A,N/A,No News,N/A,N/A,N/A,N/A
TVSMOTOR,TVS Motor Company,Auto,"2,415.05",58.24,0.39,55.47,41.56,"1,873.00","2,958.00",15.25%,20.71%,4.59%,13.81%,0.22,1.02,26.50%,7.52%,16.98%,n/a,3.12,N/A,N/A,No News,N/A,N/A,N/A,N/A
BALKRISIND,Balkrishna Industries,Auto,"2,549.00",27.79,0.82,44.05,91.72,"2,265.30","3,375.00",15.24%,42.47%,17.09%,24.66%,0.83,1.27,17.93%,7.71%,13.32%,n/a,0.33,N/A,N/A,No News,N/A,N/A,N/A,N/A
BOSCHLTD,Bosch,Auto,"28,200",41.27,0.76,57.90,686.77,"26,005","39,089",5.21%,-12.89%,11.77%,13.25%,1.19,1.95,21.61%,6.21%,53.55%,n/a,0.00,N/A,N/A,No News,N/A,N/A,N/A,N/A
TIINDIA,Tube Investments of India,Auto,"2,769.10",81.73,0.75,46.65,33.89,"2,407.10","4,810.80",16.59%,-62.34%,4.46%,10.63%,0.97,1.60,20.29%,8.13%,1.03%,10.04,0.41,N/A,N/A,No News,N/A,N/A,N/A,N/A
